,name,price,color,feature_dict,link
0,"
OxDog PLAYER 33 BL","
27.90 € 


Recommended retail price:  32.92 €


","
Black / Blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Block', 'Indicates the hardness of the blade', 'yes', 'straight']}",https://www.efloorball.net/p/40262/oxdog-player-33-bl-floorball-stick?ts=p_1_3_1
1,"
Salming Hawk UltraLite F32","
53.83 € 


Recommended retail price:  71.78 €


","
black / turquoise","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Ultimate', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Hawk', 'Indicates the hardness of the blade', 'yes', '260g', 'straight', '50 % carbon / 50 % glass fibre']}",https://www.efloorball.net/p/33372/salming-hawk-ultralite-f32-floorball-stick?ts=p_1_3_2
2,"
FLOORBEE Junkers 35","
15.13 €","
white / blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Turbine', 'Indicates the hardness of the blade', 'No', 'straight']}",https://www.efloorball.net/p/35690/floorbee-junkers-35-floorball-stick?ts=p_1_3_3
3,"
FLOORBEE Douglas 32 Composite Black/Green","
23.90 €","
black / green","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '217g', 'straight']}",https://www.efloorball.net/p/40264/floorbee-douglas-32-composite-black-green-floorball-stick?ts=p_1_3_4
4,"
FLOORBEE Douglas 32","
23.90 €","
light blue / neon yellow","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '217g', 'straight']}",https://www.efloorball.net/p/34586/floorbee-douglas-32-floorball-stick?ts=p_1_3_5
5,"
FLOORBEE Falcon 26 Carbon PRO light","
75.41 €","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Tyre sticky', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '199g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/34626/floorbee-falcon-pro-26-floorball-stick?ts=p_1_3_6
6,"
OxDog WINNER 33","
27.90 € 


Recommended retail price:  32.92 €


","
Black / Orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2021/2022', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Block', 'Indicates the hardness of the blade', 'yes', 'straight']}",https://www.efloorball.net/p/38452/oxdog-winner-33-floorball-stick?ts=p_1_3_7
7,"
FLOORBEE SpitFire 29 Carbon PRO light","
71.43 €","
white / purple","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Tyre sticky', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '203g', 'straight', '95 % carbon / 5 % glass fibre']}",https://www.efloorball.net/p/34624/floorbee-spitfire-pro-29-floorball-stick?ts=p_1_3_8
8,"
FLOORBEE SpitFire 29 Carbon light","
51.48 €","
black / pink","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Tyre sticky', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '217g', 'straight', '80 % carbon / 20 % glass fibre']}",https://www.efloorball.net/p/34622/floorbee-spitfire-29-floorball-stick?ts=p_1_3_9
9,"
Salming Flow UltraLite F32 black/turquoise","
59.45 € 


Old price:  63.81 €



","
black / turquoise","{'Name': ['Season:', 'Flex: ', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Flow', 'Indicates the hardness of the blade', 'yes', 'straight']}",https://www.efloorball.net/p/38682/salming-flow-ultralite-f32-cerna-tyrkysova-floorball-stick?ts=p_1_3_10
